reactions,data_type,kcat,MW,kcat_MW
rxn05957,UniKP,13.35377463,44181.1951,272.0251713
rxn06805_reverse,UniKP,13.10278184,28903.8012,1631.965785
rxn05363,UniKP,12.99115819,44339.7899,414.7706583
rxn00678_reverse,UniKP,12.96773534,34649.9222,112.2750169
rxn06570_reverse,UniKP,12.95907799,28903.8012,1614.067314
rxn03185,UniKP,12.9580968,32291.772,1444.61408
rxn10237,UniKP,12.9382699,26959.1633,1727.715772
rxn10263,UniKP,12.78654315,19991.8961,2302.510733
rxn02185_reverse_num1,UniKP,12.75535526,18470.0746,550.9171277
rxn00866,UniKP,12.75535526,98748.3047,116.2533349
rxn07673_reverse,UniKP,12.75535526,49102.3736,311.7247739
rxn02297_num1,UniKP,12.73603188,43703.7864,524.5508287
rxn00211,UniKP,12.73467836,47349.7978,968.2162168
rxn05405_num1,UniKP,12.57584877,25694.4805,440.4939766
rxn10226,UniKP,12.57185222,29355.374,1541.750686
rxn01639,UniKP,12.48015696,56449.6157,795.9055967
rxn07978_reverse,UniKP,12.48015696,17270.3157,2601.490664
rxn00313,UniKP,12.48015696,45248.38,496.4660068
rxn10202,UniKP,12.48015696,22605.4401,461.0361136
rxn00903,UniKP,12.37135521,40494.7051,1099.819808
rxn03842,UniKP,12.29978852,35748.8391,1238.620324
rxn06517_reverse,UniKP,11.9822608,75194.6988,573.6593079
rxn12645_num1,UniKP,11.89553059,29848.9962,1434.685101
rxn10261_reverse,UniKP,11.89553059,19991.8961,2142.063459
rxn05882,UniKP,11.89454554,60924.8361,175.7098037
rxn06075_num1,UniKP,11.89454554,40340.5691,1061.471489
rxn07720_reverse,UniKP,11.8674541,49102.3736,290.0255909
rxn03080_reverse,UniKP,11.8546959,14860.9889,2871.740605
rxn04810,UniKP,11.78987596,32969.2773,1287.366813
rxn05349,UniKP,11.74801135,34208.4536,618.1635881
rxn05348,UniKP,11.74801135,44339.7899,375.0805223
rxn06297_reverse,UniKP,11.69588028,32291.772,1303.897755
rxn06098_reverse_num1,UniKP,11.69588028,43703.7864,481.7107679
rxn05347,UniKP,11.53053364,44339.7899,368.1370789
rxn02988,UniKP,11.49513249,36252.4081,1141.50974
