,kcat,MW,kcat_MW
rxn00414,47.53192,320670.4962,53.3616014
rxn00420_num1,19.951422,32079.3795,223.8980938
rxn00423,11.282379,28211.8097,143.9700779
rxn00427,73.60297,54598.6818,485.3060244
rxn00438,8.374815,34612.114,87.10630619
rxn00459,21.747616,365936.5568,21.39480633
rxn00459_reverse,21.748589,365936.5568,21.39576354
rxn00461,4.387455,44754.3684,35.29228222
rxn00461_reverse,8.445748,44754.3684,67.93681575
rxn00463,28.691338,30916.4175,334.0905097
rxn00470_num1,6.4607406,43423.7616,53.56207132
rxn00470_num2,9.878033,90496.76,39.29523974
rxn00474_num1,13.159726,292663.0664,16.18756141
rxn00474_num2,12.436784,290770.048,15.39787977
rxn00484,63.655018,394993.2188,58.01569594
rxn00493_num1,15.273137,40262.753,136.5611865
rxn00493_num2,56.595467,40262.753,506.0351467
rxn00493_num3,27.70116,120945.7216,82.45366159
rxn00493_num4,76.21957,40262.753,681.4994792
rxn00493_reverse_num1,16.749157,40262.753,149.7586745
rxn00493_reverse_num2,60.24456,40262.753,538.6626593
rxn00493_reverse_num3,28.622375,120945.7216,85.19569658
rxn00493_reverse_num4,81.133965,40262.753,725.440394
rxn00497,63.655018,394993.2188,58.01569594
rxn00500_num1,26.007647,64715.76236,144.675
rxn00500_num2,51.56507,36495.62212,508.648
rxn00500_reverse_num1,28.43718,64715.75194,158.19
rxn00500_reverse_num2,53.554417,36495.64356,528.271
rxn00505,59.439518,46347.6199,461.6898673
rxn00505_reverse,68.979126,46347.6199,535.787715
rxn00507,5.7140303,49622.1121,41.45431988
rxn00508,5.7140307,49622.1121,41.45432278
rxn00514,15.6361065,45873.1672,122.7078635
rxn00519,2.8921087,45362.3748,22.95204201
rxn00527_num2,47.47773,44113.9488,387.4507557
rxn00527_num4,69.53199,90569.94,276.3777518
rxn00527_num5,55.67949,43682.1532,458.8742755
rxn00527_num6,15.273137,40262.753,136.5611865
rxn00527_num7,56.595467,40262.753,506.0351467
rxn00527_num8,27.70116,120945.7216,82.45366159
rxn00527_num9,78.52265,40262.753,702.091931
rxn00527_reverse_num2,53.481537,44113.9488,436.445928
rxn00527_reverse_num4,83.3748,90569.94,331.4005508
rxn00527_reverse_num5,60.880848,43682.1532,501.7404975
rxn00527_reverse_num6,17.77665,40262.753,158.9457631
rxn00527_reverse_num7,63.94032,40262.753,571.7074339
rxn00527_reverse_num8,30.378244,120945.7216,90.42211411
rxn00527_reverse_num9,81.133965,40262.753,725.440394
rxn00529,63.655018,394993.2188,58.01569594
rxn00532,9.163811,74254.4288,44.42794879
rxn00532_reverse,9.249102,74254.4288,44.84145624
rxn00539,5.908768,48582.2519,43.78464144
rxn00541,12.812579,146340.8848,31.51906896
rxn00543_num1,60.629097,16920,1289.980787
rxn00543_num2,57.261246,16920,1218.324383
rxn00543_num3,26.035095,16920,553.9381915
rxn00543_reverse_num1,81.65184,16920,1737.273191
rxn00543_reverse_num2,70.52777,16920,1500.590851
rxn00543_reverse_num3,34.184788,16920,727.3359149
rxn00544,71.632034,243699.3444,105.8169947
rxn00544_reverse,108.66905,243699.3444,160.5291885
rxn00547_num2,4.9422693,32608.9234,54.56227199
rxn00547_reverse_num2,5.908768,32608.9234,65.23234312
rxn00549,8.630886,35303.7494,88.01101902
rxn00555,12.436784,131973.963,33.92519356
rxn00555_reverse,17.77665,131973.963,48.49133764
rxn00558,112.79751,55398.3502,733.002038
rxn00558_reverse,94.34713,55398.3502,613.1043014
rxn00559,21.262074,52267.0764,146.4468106
rxn00559_reverse,23.950773,52267.0764,164.9657657
rxn00566,9.8016615,75194.6988,46.92615565
rxn00599,1.5777104,88456.114,6.420989102
rxn00604,147.74539,53858.72849,987.5528422
rxn00604_reverse,78.381905,53858.72849,523.9166722
rxn00611,92.6515,36309.6774,918.6129536
rxn00612,87.29622,36309.6774,865.5168939
rxn00623,37.416405,263290.235,51.15991408
rxn00633,11.040637,188758.24,21.05671954
rxn00646,1116.7538,105087.8462,3825.6695
rxn00649_num2,9.489765,32918.5824,103.780757
rxn00650_num1,41.27819,29848.9962,497.8441587
rxn00650_num2,9.134171,52535.6684,62.59179069
rxn00650_num3,7.5705347,97500.0464,27.95273021
rxn00650_num4,21.718914,49762.2177,157.1234041
rxn00678,28.55021,34649.9222,296.6262245
rxn00678_reverse,43.31199,34649.9222,449.9957117
rxn00686,12.02088,16114.2011,268.5529846
rxn00686_reverse,13.366437,16114.2011,298.6134584
rxn00690,29.293829,59285.4455,177.8814067
rxn00692,8.567145,91625.5378,33.66061771
rxn00692_reverse,11.826041,91625.5378,46.46493611
rxn00693_num1,40.011734,97254.0732,148.109213
rxn00693_num2,16.749157,38203.1016,157.8326436
rxn00693_reverse_num1,39.713528,97254.0732,147.0053604
rxn00693_reverse_num2,10.716813,38203.1016,100.9879439
rxn00700,8.714275,29083.1678,107.8678575
rxn00704_num1,76.44441,49902.8435,551.4713325
rxn00704_num2,64.65939,47894.2165,486.0165193
rxn00707,17.332638,22854.6691,273.0185964
rxn00710,25.811317,25302.8524,367.2342538
rxn00721,0.82167053,104392.003,2.833563705
rxn00726,11.627825,135994.1118,30.78086944
rxn00727,11.627825,135994.1118,30.78086944
rxn00735,20.2728,75455.172,96.72243541
rxn00737,23.87017,44604.6082,192.6541124
rxn00743,12.07201,63010.6888,68.97121239
rxn00747,12.253514,52533.4964,83.97052057
rxn00747_reverse,10.558889,52533.4964,72.35764418
rxn00763_num2,66.29283,160579.11,148.6209433
rxn00763_num3,53.951534,36122.01,537.6930088
rxn00763_reverse_num2,79.740295,160579.11,178.7686219
rxn00763_reverse_num3,70.52777,36122.01,702.8954701
rxn00770,2.4915543,201656.1564,4.447965111
rxn00775,4.161078,20264.6715,73.92116275
rxn00776_num1,26.177021,87411.281,107.8090545
rxn00776_num2,16.891214,135022.7817,45.03563742
rxn00777,236.93437,16960.2067,5029.205994
rxn00777_reverse,130.63464,16960.2067,2772.8713
rxn00780,22.558693,39727.3283,204.4217376
rxn00781,36.94002,144406.7544,92.08992512
rxn00781_reverse,31.874018,144406.7544,79.46059398
rxn00783,8.700948,16264.2862,192.5901476
rxn00783_reverse,7.957584,16264.2862,176.1362414
rxn00785,14.622445,72109.3237,73.00138082
rxn00785_reverse,10.539176,72109.3237,52.61598869
rxn00786,20.629673,32790.9815,226.4855134
rxn00786_reverse,22.556816,32790.9815,247.6429002
rxn00789_num1,5.5412607,24535.3165,81.30540529
rxn00791,0.9591286,72273.3158,4.77750733
rxn00792,9.827216,29752.9458,118.9057979
rxn00798,23.238403,23204.389,360.5277036
rxn00798_reverse,24.663986,23204.389,382.644635
rxn00799,28.488798,110293.1886,92.98821995
rxn00799_reverse,26.84214,110293.1886,87.61348296
rxn00800,4.797312,48582.2519,35.54862635
rxn00800_reverse,3.7806857,48582.2519,28.01531009
rxn00802,15.158095,51078.6542,106.8335547
rxn00802_reverse,31.904856,51078.6542,224.8639542
rxn00806,11.282659,40494.7051,100.3034157
rxn00806_reverse,10.630519,40494.7051,94.50585775
rxn00816,11.374247,114487.7733,35.76564381
rxn00832,3.0695274,56449.6157,19.5755073
rxn00832_reverse,7.4976373,56449.6157,47.81519581
rxn00834,1.9338359,206514.2604,3.371103393
rxn00834_reverse,1.7686187,206514.2604,3.083093297
rxn00838,1.1540082,93533.5522,4.441646257
rxn00851,22.311548,35214.165,228.0944978
rxn00853,24.834555,31723.7283,281.8218501
rxn00859,20.15329,46338.1927,156.5702928
rxn00859_reverse,20.949131,46338.1927,162.7531572
rxn00861,2.6961215,88456.114,10.97271513
rxn00863,21.389614,46338.1927,166.1752561
rxn00866,63.655018,394993.2188,58.01569594
rxn00881_num1,2.0070672,29975.5665,24.10443826
rxn00882_num1,2.0070672,29975.5665,24.10443826
