metname,inchikey
gagicolipa,XCYFJKYUDKZCQY-RQZVRRRJSA-C
cpd08400,NA
pydam,NHZMQXZHNVQTQA-UHFFFAOYSA-O
taur,XOAAWQZATWQOTB-UHFFFAOYSA-N
cpd15686,NA
cpd03661,NA
cpd10555,NA
2obut,TYEYBOSBBBHJIV-UHFFFAOYSA-M
cpd03407,NA
pg160,BIABMEZBCHDPBV-MPQUPPDSSA-M
dhap,GNGACRATGGDKBX-UHFFFAOYSA-L
trnaser,NA
ckdo,YWWJKULNWGRYAS-UOVSKDHASA-L
pydx5p,NGVDGCNFYWLIFO-UHFFFAOYSA-L
nh4,QGZKDVFQNNGYKY-UHFFFAOYSA-O
glyc__R,RBNPOMFGQQGHHO-UWTATZPHSA-M
uAgl,RLNOPSGEZLGFAH-BSIIKIOPSA-K
itp,HAEJPQIATWHALX-KQYNXXCUSA-J
cpd25883,NA
cpd10545,NA
15dap,VHRGRCVQAFMJIZ-UHFFFAOYSA-P
cpd11441,NA
mi3p__D,INAPMGSXUVUWAF-PTQMNWPWSA-L
ggbutal,JZNLEPLZUABCSQ-ZETCQYMHSA-N
sheme,DLKSSIHHLYNIKN-QIISWYHFSA-D
pre2,OQIIYZQTTMKFAU-ZNLOQLQNSA-G
23dhmb,JTEYKUFKXGDTEU-VKHMYHEASA-M
cpd11507,NA
23dpg,XOHUEYCVLUUEJJ-UWTATZPHSA-I
ugam,CYKLRRKFBPBYEI-NQQHDEILSA-M
cpd15665,NA
trnapro,NA
2dhp,NA
apg141,NA
dtdp4d6dg,NA
cpd19241,NA
trnagly,NA
glyclt,NA
cpd11539,NA
hepdp,NA
pmcoa,NA
peng,JGSARLDLIJGVTE-MBNYWOFBSA-M
gtp,NA
cpd33171,NA
cpd11558,NA
3odecACP,NA
gdptp,NA
adp,NA
h2co3,NA
for,NA
cpd01129,NA
cholate,BHQCQFFYRZLCQQ-OELDTZBJSA-M
cpd11506,NA
adocbl,ZIHHMGTYZOSFRC-QRVZQHAISA-N
cpd15606,NA
cpd03281,NA
cpd15131,NA
8aonn,NA
ni2,NA
2cpr5p,NA
4hthr,NA
sucglu,NA
ipdp,NA
dttp,NA
lystrna,NA
1pipdn2c,GEJXSVNGWOSZPC-UHFFFAOYSA-N
3c3hmp,NA
dudp,NA
cpd03232,NA
h2s,RWSOTUBLDIXVET-UHFFFAOYSA-M
cm,WIIZWVCIJKGZOK-RKDXNWHRSA-N
cpd11590,NA
ppbng,QSHWIQZFGQKFMA-UHFFFAOYSA-M
4r5au,XKQZIXVJVUPORE-RPDRRWSUSA-N
thdp,CXMBCXQHOXUCEO-BYPYZUCNSA-L
cpd15675,NA
cpd15671,NA
glu5sa,KABXUUFDPUOJMW-BYPYZUCNSA-N
cpd03656,NA
cpd03158,NA
dc2coa,MGNBGCRQQFMNBM-YJHHLLFWSA-J
cpd10562,NA
4abut,BTCSSZJGUNDROE-UHFFFAOYSA-N
t3c11vaceACP,NA
cpd14795,NA
acg5p,FCVIHFVSXHOPSW-YFKPBYRVSA-K
cpd25888,NA
glutrna,NA
adhlam,ARGXEXVCHMNAQU-UHFFFAOYSA-N
sucsal,UIUJIQZEACWQSV-UHFFFAOYSA-M
cpd15603,NA
dgtp,HAAZLUGHYHWQIW-KVQBGUIXSA-J
trans_dd2coa,IRFYVBULXZMEDE-DEEZISNZSA-J
dhnpt,YQIFAMYNGGOTFB-XINAWCOVSA-N
26dap__M,GMKMEZVLHJARHF-SYDPRGILSA-N
cpd11822,NA
cpd12592,NA
DNA,NA
adocbip,MQCMBMUJJHSGIF-QMUWONGRSA-K
protdt,NA
cobalt2,XLJKHNWPARRRJB-UHFFFAOYSA-N
cpd12868,NA
eig3p,HFYBTHCYPKEDQQ-RITPCOANSA-L
dhf,OZRNSSUDZOLUSN-LBPRGKRZSA-L
2mbcoa,LYNVNYDEQMMNMZ-XGXNYEOVSA-J
cpd15673,NA
3hcvac11eACP,NA
xmp,DCTLYFZHFGENCW-UUOKFMHZSA-L
5prdmbz,ZMRGXEJKZPRBPJ-SYQHCUMBSA-L
cpd10552,NA
skm,JXOHGGNKMLTUBP-HSUXUTPPSA-M
gmhep7p,SDADNVAZGVDAIM-ZUHYCWGWSA-L
cpd04106,NA
cpd11562,NA
mev__R,KJTLQQUUPVSXIM-ZCFIWIBFSA-M
ddcacoa,YMCXGHLSVALICC-GMHMEAMDSA-J
4c2me,YFAUKWZNPVBCFF-XHIBXCGHSA-L
ade,GFFGJBXGBJISGV-UHFFFAOYSA-N
cpd21087,NA
cpd01859,NA
2agpg160,ODJYINYQGFIIRK-UHFFFAOYSA-M
apoACP,NA
aicar,NOTGFIUVDGNKRI-UUOKFMHZSA-L
ptrc,KIDHWZJUCRJVML-UHFFFAOYSA-P
pg120,NA
cpd01324,NA
cpd09879,NA
cdpdag_BS,NA
apg140,HLSZVIULNVUBQI-YWPUXERESA-M
malcoa,LTYOQGRJFJAKNA-DVVLENMVSA-I
cpd02807,NA
hpyr,HHDDCCUIIUWNGJ-UHFFFAOYSA-M
5aizc,XFVULMDJZXYMSG-ZIYNGMLESA-L
cpd06739,NA
co2,CURLTUGMZLYLDI-UHFFFAOYSA-N
2agpe120,NPAZKTOOMVQLIH-UHFFFAOYSA-N
cpd15697,NA
4hglu,HBDWQSHEVMSFGY-SCQFTWEKSA-M
pgp181,NA
agm,QYPPJABKJHAVHS-UHFFFAOYSA-P
protds,NA
spmd,ATHGHQPFGPMSJY-UHFFFAOYSA-Q
cpd10484,NA
alltn,POJWUDADGALRAB-UHFFFAOYSA-N
acg5sa,BCPSFKBPHHBDAI-LURJTMIESA-M
dpterol,PNJBOAVCVAVRGR-UDCAXGDQSA-N
cdpdodec11eg,KISJWPWNABZPGN-IGIWICMZSA-L
trnaval,NA
chsterol,HVYWMOMLDIMFJA-DPAQBDIFSA-N
5mthf,ZNOVTXRBGFNYRX-STQMWFEESA-L
fru,RFSUNEUAIZKAJO-VRPWFDPXSA-N
cpd00190,NA
cpd03193,NA
2ahbut,VUQLHQFKACOHNZ-LURJTMIESA-M
adphep_LD,KMSFWBYFWSKGGR-DTBZDYEHSA-L
tdecoa,NA
cpd15719,NA
cpd15064,NA
cpd11827,NA
1odec11eg3p,NA
pdx5p,WHOMFKWHIQZTHY-UHFFFAOYSA-L
cpd10561,NA
cpd02014,NA
gthox,YPZRWBKMTBYPTK-BJDJZHNGSA-L
hdd2coa,JUPAQFRKPHPXLD-MSHHSVQMSA-J
nad,BAWFJGJZGIEFAR-NNYOXOHSSA-M
cpd11531,NA
uamr,NQBRVZNDBBMBLJ-MQTLHLSBSA-K
protrna,NA
1hdec9eg3p,NA
seahcys,NA
3oddecACP,NA
cpd15067,NA
cpd07971,NA
cbp,FFQKYPRQEYGKAF-UHFFFAOYSA-L
56dthm,NBAKTGXDIBVZOO-UHFFFAOYSA-N
uGgla,PFMVORMCVGOQKR-XEKCPOMLSA-K
ala__L,QNAYBMKLOCPYGJ-REOHCLBHSA-N
cpd00966,NA
thm,MYVIATVLJGTBFV-UHFFFAOYSA-M
ggagicolipa,WLEFLXRCTUWFSD-CCRRCLIHSA-C
glyc,PEDCQBHIVMGVHV-UHFFFAOYSA-N
psd5p,NA
cpd12050,NA
forglu,NRXIKWMTVXPVEF-BYPYZUCNSA-M
hg2,BQPIGGFYSBELGY-UHFFFAOYSA-N
actACP,NA
cpd11581,NA
dhna,VOJUXHHACRXLTD-UHFFFAOYSA-M
trp__L,QIVBCDIJIAJPQS-VIFPVBQESA-N
acgam1p,FZLJPEPAYPUMMR-RTRLPJTCSA-L
cpd04661,NA
1hdecg3p,NA
na1,FKNQFGJONOIPTF-UHFFFAOYSA-N
stcoa,SIARJEKBADXQJG-LFZQUHGESA-J
rnam,JLEBZPBDRKPWTD-TURQNECASA-O
clpn161,UYSHBKYVDAZLKJ-GMUISZSCSA-L
cpd15572,NA
cpd02135,NA
cpd01651,NA
6pgc,BIRSGZKFKXLSJQ-SQOUGZDYSA-K
3hdecACP,NA
cpd15721,NA
cpd03289,NA
4hba,BVJSUAQZOZWCKN-UHFFFAOYSA-N
hdcoa,NA
cbasp,HLKXYZVTANABHZ-REOHCLBHSA-L
palmACP,NA
Sfglutth,FHXAGOICBFGEBF-BQBZGAKWSA-M
salc,YGSDEFSMJLZEOE-UHFFFAOYSA-M
cpd15268,NA
sucgsa,XTOKIEIBKARFSZ-LURJTMIESA-L
4per,ZCZXOHUILRHRQJ-PWNYCUMCSA-K
cpd03518,NA
cpd11551,NA
fe2,CWYNVVGOOAEACU-UHFFFAOYSA-N
cpd11979,NA
cpd25881,NA
cpd12190,NA
cpd32729,NA
cpd18036,NA
nadh,BOPGDPNILDQYTO-NNYOXOHSSA-L
LalaLglu,VYZAGTDAHUIRQA-WHFBIAKZSA-M
3php,LFLUCDOSQPJJBE-UHFFFAOYSA-K
cpd02267,NA
coa,RGJOEKWQDUBAIZ-IBOSZNHHSA-J
sucarg,UMOXFSXIFQOWTD-LURJTMIESA-M
cpd11561,NA
ametam,ZUNBITIXDCPNSD-LSRJEVITSA-O
acald,IKHGUXGNUITLKF-UHFFFAOYSA-N
cpd03709,NA
cpd15723,NA
cpd03245,NA
cpd11515,NA
5hxkyn,NA
gln__L,ZDXPYRJPNDTMRX-VKHMYHEASA-N
cpd12606,NA
hxcoa,NA
pgp180,UZNYMWWMHBZMLI-IOLBBIBUSA-K
dha,RXKJFZQQPQGTFL-UHFFFAOYSA-N
cpd11567,NA
cpd11572,NA
cpd00542,NA
glu__L,WHUUTDBJXJRKMK-VKHMYHEASA-M
ps120,NA
ahcys,ZJUKTBDSGOFHSH-WFMPWKQPSA-N
acACP,NA
cpd08238,NA
4abz,ALYNCZNDIQEVRV-UHFFFAOYSA-M
2pglyc,ASCFNMCAHFUBCO-UHFFFAOYSA-K
dimp,PHNGFPPXDJJADG-RRKCRQDMSA-L
1ddecg3p,STTKJLVEXMKLNA-CQSZACIVSA-L
3dhq,WVMWZWGZRAXUBK-SYTVJDICSA-M
trnaala,NA
his__L,HNDVDQJCIGZPNO-YFKPBYRVSA-N
cpd11500,NA
3omrsACP,NA
kdo,NNLZBVFSCVTSLA-HXUQBWEZSA-M
gdp,QGWNDRXFNXRZMB-UUOKFMHZSA-K
n6all26d,KYVLWJXMCBZDRL-BQBZGAKWSA-M
glytrna,NA
cpd08741,NA
5apru,LZEXYCAGPMYXLX-UMMCILCDSA-L
cpd00354,NA
mettrna,NA
cpd15691,NA
dcyt,CKTSBUTUHBMZGZ-SHYZEUOFSA-N
n2,IJGRMHOSHXDMSA-UHFFFAOYSA-N
fpram,PMCOGCVKOAOZQM-ZRTZXPPTSA-M
cpd01679,NA
cpd02733,NA
mi34p,NA
cpd15685,NA
damp,KHWCHTKSEGGWEX-RRKCRQDMSA-L
cpd11573,NA
arab__L,PYMYPHUHKUWMLA-VAYJURFESA-N
pe140,NA
cdpea,WVIMUEUQJFPNDK-PEBGCTIMSA-M
Ndmelys,NA
tddec2eACP,NA
trnahis,NA
nadp,XJLXINKUBYWONI-NNYOXOHSSA-K
gmhep1p,KMEJCSKJXSBBAN-QTNLNCNHSA-L
uppg1,QTTNOSKSLATGQB-UHFFFAOYSA-F
aflburppa,FKTHAKABFGARQH-UHFFFAOYSA-M
kdo8p,IZZNRKJLBIYBJN-HXUQBWEZSA-K
dhor__S,UFIVEPVSAGBUSI-REOHCLBHSA-M
lac__D,JVTAAEKCZFNVCJ-UWTATZPHSA-M
2fe1s,NA
kphphhlipa,HKWVBDGTKAFRJF-UHFFFAOYSA-C
cd2,WLZRMCYVCSSEQC-UHFFFAOYSA-N
cpd03366,NA
2ohph,YGTMSXVYLRCOLD-MGDAWYEDSA-N
cpd11547,NA
dopa,VYFYYTLLBUKUHU-UHFFFAOYSA-O
acglu,RFMMMVDNIPUKGG-YFKPBYRVSA-L
fald,WSFSSNUMVMOOMR-UHFFFAOYSA-N
gthrd,RWSXRVCMGQZWBV-WDSKDSINSA-M
but2eACP,NA
trnatrp,NA
cpd02952,NA
glucys,RITKHVBHSGLULN-WHFBIAKZSA-M
cpd10558,NA
glyald,MNQZXJOMYWMBOU-VKHMYHEASA-N
cpd01140,NA
ru5p__L,FNZLKVNUWIIPSJ-CRCLSJGQSA-L
mercppyr,OJOLFAIGOXZBCI-UHFFFAOYSA-M
prfp,QOUSHGMTBIIAHR-KEOHHSTQSA-J
cpd16401,NA
prbatp,RKNHJBVBFHDXGR-KEOHHSTQSA-H
4gudbutn,TUHVEAJXIMEOSA-UHFFFAOYSA-N
2hdec9eg3p,NA
cala,JSJWCHRYRHKBBW-UHFFFAOYSA-M
cpd08739,NA
h2mb4p,MDSIZRKJVDMQOQ-GORDUTHDSA-K
rbl__L,ZAQJHHRNXZUBTE-UCORVYFPSA-N
cpd11516,NA
agdpcbi,IQTYKHRKNGVJEO-RRMAJTJESA-K
2agpe160,CKPBBEOJHAPPBT-HXUWFJFHSA-N
sql,YYGNTYWPHWGJRM-AAJYLUCBSA-N
2dda7p,PJWIPEXIFFQAQZ-PUFIMZNGSA-K
5mta,WUUGFSXJNOTRMR-IOSLPCCCSA-N
3psme,QUTYKIXIUDQOLK-PRJMDXOYSA-J
cpd11559,NA
25aics,NAQGHJTUZRHGAC-ZZZDFHIKSA-J
mmcoa__S,MZFOKIKEPGUZEN-IBNUZSNCSA-I
uaagmda,OXJNZXDFVLDLEI-MBCYCBSHSA-J
2me4p,XMWHRVNVKDKBRG-UHNVWZDZSA-L
cyart,ONQRKEUAIJMULO-SPBTXPORSA-N
cpd11439,NA
succ,KDYFGRWQOYBRFD-UHFFFAOYSA-L
Nforglu,ADZLWSMFHHHOBV-BYPYZUCNSA-L
3hhexACP,NA
acon_C,GTZCVFVGUGFEME-IWQZZHSRSA-K
cpd11546,NA
3c4mop,HIIZAGQWABAMRR-BYPYZUCNSA-L
trnaasp,NA
cpd11552,NA
co2dam,IADMSJRJSGLGJI-OKJGWHJPSA-H
acgam6p,BRGMHAYQAZFZDJ-RTRLPJTCSA-L
ura,ISAKRJDGNUQOIC-UHFFFAOYSA-N
cpd02380,NA
cpd02999,NA
TAGS,NA
cpd03205,NA
pgp161,PTJJTQQVMKSSOK-WXUKJITCSA-K
uamag,OJZCATPXPWFLHF-HPUCEMLMSA-J
cpd11513,NA
cpd10567,NA
cpd09791,NA
cpd02419,NA
4hbz,FJKROLUGYXJWQN-UHFFFAOYSA-M
10fthf,AUFGTPPARQZWDO-YPMHNXCESA-L
aspsa,HOSWPDPVFBCLSY-VKHMYHEASA-N
cys__L,XUJNEKJLAYXESH-REOHCLBHSA-N
1agpg161,NA
cpd11564,NA
cpd10536,NA
3ocmrs7eACP,NA
glu__D,WHUUTDBJXJRKMK-GSVOUGTGSA-M
cpd11511,NA
cpd03519,NA
cmp2amep,NA
cpd10501,NA
pgp160,ONJBJMDJKLHMEK-MPQUPPDSSA-K
pi,NBIIXXVUZAFLBC-UHFFFAOYSA-L
3hpcoa,BERBFZCUSMQABM-IEXPHMLFSA-J
2agpg181,NA
citr__L,RHGKLRLOHDJJDR-BYPYZUCNSA-N
ichor,NTGWPRCCOQCMGE-YUMQZZPRSA-L
dtdpglu,YSYKRGRSMLTJNL-URARBOGNSA-L
dcmp,NCMVOABPESMRCP-SHYZEUOFSA-L
cpd11504,NA
retinol,FPIPGXGPPPQFEQ-OVSJKPMPSA-N
4ppcys,XQYALQVLCNHCFT-CBAPKCEASA-K
pro__L,ONIBWKKTOPOVIA-BYPYZUCNSA-N
adpglc,WFPZSXYXPSUOPY-ROYWQJLOSA-L
t3c7mrseACP,NA
3mob,QHKABHOOEWYVLI-UHFFFAOYSA-M
paps,GACDQMDRPRGCTN-KQYNXXCUSA-J
5flura,GHASVSINZRGABV-UHFFFAOYSA-N
cpd12076,NA
2ommb,FLYBTLROCQBHMR-KFSSTAEESA-N
cpd11582,NA
RNA,NA
2mahmp,AGQJQCFEPUVXNK-UHFFFAOYSA-K
uaaGgla,ULXTYUPMJXVUHQ-OVTFQNCVSA-K
cgly,ZUKPVRWZDMRIEO-VKHMYHEASA-N
cpd02996,NA
uaaAgla,NA
g3ps,ZWZWYGMENQVNFU-UHNVWZDZSA-M
CARDIOLIPIN,NA
cpd11529,NA
prbamp,RTQMRTSPTLIIHM-KEOHHSTQSA-J
cpd03657,NA
cpd15716,NA
cpd11548,NA
gam6p,XHMJOUIAFHJHBW-IVMDWMLBSA-M
pg180,FVJZSBGHRPJMMA-IOLBBIBUSA-M
2agpe161,NA
leu__L,ROHFNLRQFUQHCH-YFKPBYRVSA-N
5pmev,OKZYCXHTTZZYSK-ZCFIWIBFSA-K
tym,DZGWFCGJZKJUFP-UHFFFAOYSA-O
cpd09804,NA
zymst,CGSJXLIKVBJVRY-XTGBIJOFSA-N
5hxkynam,JANBBPTXDKFOQR-UHFFFAOYSA-O
4h2oglt,WXSKVKPSMAHCSG-UHFFFAOYSA-L
ddca,NA
uaaAgtla,NA
c190cACP,NA
cpd15688,NA
5houdic,WHKYNCPIXMNTRQ-UHFFFAOYSA-M
hisp,CWNDERHTHMWBSI-YFKPBYRVSA-M
dmlz,SXDXRJZUAJBNFL-XKSSXDPKSA-M
cpd01956,NA
icit,ODBLHEXUDAPZAU-UHFFFAOYSA-K
cpd15680,NA
cpd03655,NA
tdcoa,DUAFKXOFBZQTQE-QSGBVPJFSA-J
thmmp,HZSAJDVWZRBGIF-UHFFFAOYSA-M
uacgam,LFTYTUAZOPRMMI-CFRASDGPSA-L
trnalys,NA
cpd10483,NA
cpd03654,NA
cpd08279,NA
cpd03351,NA
4ppan,XHFVGHPGDLDEQO-ZETCQYMHSA-K
butso3,NA
cpd11733,NA
cpd13383,NA
so3,LSNNMFCWUKXFEE-UHFFFAOYSA-L
abt__L,HEBKCHPVOIAQTA-IMJSIDKUSA-N
atp,ZKHQWZAMYRWXGA-KQYNXXCUSA-J
ditp,UFJPAQSLHAGEBL-RRKCRQDMSA-J
cpd00947,NA
trnaphe,NA
cpd15689,NA
cpd15693,NA
iad,ZOAMBXDOGPRZLP-UHFFFAOYSA-N
cpd11497,NA
cpd11514,NA
cpd18007,NA
25drapp,OCLCLRXKNJCOJD-UMMCILCDSA-L
cdpdtdec7eg,VDJIEKQUDMPHPA-WNAWUNHNSA-L
cpd02490,NA
cpd04015,NA
datp,SUYVUBYJARFZHO-RRKCRQDMSA-J
cpd12564,NA
hxan,FDGQSTZJBFJUBT-UHFFFAOYSA-N
PL,NA
2mb2coa,PMWATMXOQQZNBX-DKBZLLMOSA-J
ptd2meeta_SC,NA
2agpg120,NA
cpd12736,NA
ala_B,UCMIRNVEIXFBKS-UHFFFAOYSA-N
ind3ac,SEOVTRFCIGRIMH-UHFFFAOYSA-M
xtp,CAEFEWVYEZABLA-UUOKFMHZSA-J
cpd15681,NA
cu2,JPVYNHNXODAKFH-UHFFFAOYSA-N
cpd02972,NA
dtdp4d6dm,PSXWNITXWWECNY-LPVGZGSHSA-L
cpd11217,NA
sufbcd__4fe4s,NA
pgp140,NA
xylt,HEBKCHPVOIAQTA-SCDXWVJYSA-N
cpd04539,NA
uri,DRTQHJPVMGBUCF-XVFCMESISA-N
cpd34449,NA
cpd11591,NA
4abutn,DZQLQEYLEYWJIB-UHFFFAOYSA-O
mso3,AFVFQIVMOAPDHO-UHFFFAOYSA-M
cpd01221,NA
ptdmeeta_SC,NA
utp,PGAVKCOVUIYSFO-XVFCMESISA-J
cpd00650,NA
dcdp,FTDHDKPUHBLBTL-SHYZEUOFSA-K
gggagicolipa,DJHBKVISRABJNG-HEIPHTFDSA-C
PC,NA
ca2,BHPQYMZQTOCNFJ-UHFFFAOYSA-N
achms,FCXZBWSIAGGPCB-YFKPBYRVSA-N
nadph,ACFIXJIJDZMPPO-NNYOXOHSSA-J
ham,AVXURJPOCDRRFD-UHFFFAOYSA-N
hgbam,JJMDOVLPFPOLFZ-IPUCCYEASA-L
so4,QAOWNCQODCNURD-UHFFFAOYSA-L
ile__L,AGPKZVBTJJNPAG-WHFBIAKZSA-N
3ig3p,NQEQTYPJSIEPHW-MNOVXSKESA-L
cpd10497,NA
pphn,FPWMCUPFBRFMLH-XGAOUMNUSA-L
6pgl,IJOJIVNDFQSGAB-SQOUGZDYSA-L
cyst__L,ILRYLPWNYFXEMH-WHFBIAKZSA-N
cpd15720,NA
cpd11586,NA
cpd11475,NA
cpd00442,NA
pencil,NA
ohpb,MZJFVXDTNBHTKZ-UWTATZPHSA-K
argsuc,KDZOASGQNOPSCU-ZBHICJROSA-M
2ahethmpp,RRUVJGASJONMDY-UHFFFAOYSA-L
cpd11434,NA
ak2g_hs,NA
tcynt,ZMZDMBWJUHKJPS-UHFFFAOYSA-M
gua,UYTPUPDQBNUYGX-UHFFFAOYSA-N
ribflv,AUNGANRZJHBGPY-SCRDCRAPSA-M
34hpp,KKADPXVIOXHVKN-UHFFFAOYSA-M
cystrna,NA
cpd15678,NA
air,PDACUKOKVHBVHJ-ZRTZXPPTSA-M
lcts,GUBGYTABKSRVRQ-QKKXKWKRSA-N
cpd11549,NA
mi12356p,CTPQAXVNYGZUAJ-UOTPTPDRSA-D
3mop,JVQYSWDUAOAHFM-BYPYZUCNSA-M
cpd11587,NA
xan,LRFVTYWOQMYALW-UHFFFAOYSA-N
cpd02787,NA
cpd15029,NA
h,GPRLSGONYQIRFK-UHFFFAOYSA-N
trnaasn,NA
hexACP,NA
uama,NTMMCWJNQNKACG-KBKUWGQMSA-K
gal,WQZGKKKJIJFFOK-PHYPRBDBSA-N
ump,DJJCXFVJDGTHFX-XVFCMESISA-L
quln,GJAWHXHKYYXBSV-UHFFFAOYSA-L
cpd11767,NA
glycogen,NA
cpd12599,NA
cpd11524,NA
cpd15682,NA
pppi,UNXRWKVEANCORM-UHFFFAOYSA-I
cpd15088,NA
cbtnCCP,NA
valtrna,NA
cpd02102,NA
pydxn,LXNHXLLTXMVWPM-UHFFFAOYSA-N
cpd11534,NA
msa,OAKURXIZZOAYBC-UHFFFAOYSA-M
cpd10549,NA
PG,NA
phthr,FKHAKIJOKDGEII-GBXIJSLDSA-L
f6p,BGWGXPAPYGQALX-ARQDHWQXSA-L
2agpe141,NA
adn,OIRDTQYFTABQOQ-KQYNXXCUSA-N
kdo2lipid4,XAOLJGCZESYRFT-VHSKNIDJSA-H
pa141,NA
cpd35301,NA
cpd03660,NA
octdp,IKKLDISSULFFQO-DJMILUHSSA-K
cpd11543,NA
e4p,NGHMDNPXVRFFGS-IUYQGCFVSA-L
cpd09794,NA
sufbcd__2fe2s2,NA
cpd11851,NA
cpd00652,NA
cpd10162,NA
cpd11554,NA
cpd04017,NA
pg181,NA
pe141,NA
amet,MEFKEPWMEQBLKI-AIRLBKTGSA-O
adprib,SRNWOUGRCWSEMX-TYASJMOZSA-L
ddcaACP,NA
trnaile,NA
hcit,NA
caffcoa,QHRGJMIMHCLHRG-ZSELIEHESA-J
acser,VZXPDPZARILFQX-BYPYZUCNSA-N
2ommbl,HDSGDGSLNMIMKU-KFSSTAEESA-N
cpd02626,NA
L_alagly,CXISPYVYMQWFLE-VKHMYHEASA-N
trnamet,NA
man6p,NBSCHQHZLSJFNQ-QTVWNMPRSA-L
uaagtmda,NA
cpppg3,NIUVHXTXUXOFEB-UHFFFAOYSA-J
cpd04806,NA
cpd11496,NA
cpd25886,NA
g3pg,LLCSXHMJULHSJN-UHFFFAOYSA-M
rdmbzi,HLRUKOJSWOKCPP-SYQHCUMBSA-N
pencilca,NA
cpd15028,NA
cpd00668,NA
dmbzid,LJUQGASMPRMWIW-UHFFFAOYSA-N
phom,FXDNYOANAXWZHG-VKHMYHEASA-L
accoa,ZSLZBFCDCINBPY-ZSJPKINUSA-J
cpd16471,NA
lgt__S,VDYDCVUWILIYQF-CSMHCCOUSA-M
gdpmann,MVMSCBBUIHUTGJ-GDJBGNAASA-L
cpd11523,NA
pa181,NA
rib__D,HMFHBZSHGGEWLO-SOOFDHNKSA-N
cpd10499,NA
gal_bD,WQZGKKKJIJFFOK-FPRJBGLDSA-N
pe120,NA
3ocvac11eACP,NA
tpalm2eACP,NA
menecyart,BDHQMRXFDYJGII-UEBIAWITSA-N
lys__L,KDXKERNSBIXSRK-YFKPBYRVSA-O
1pyr5c,DWAKNKKXGALPNW-UHFFFAOYSA-M
2agpg140,NHYJQQUDLXESED-UHFFFAOYSA-M
ru5p__D,FNZLKVNUWIIPSJ-UHNVWZDZSA-L
cpd03830,NA
cpd10544,NA
occoa,KQMZYOXOBSXMII-CECATXLMSA-J
asptrna,NA
23dhmp,PDGXJDXVGMHUIR-UJURSFKZSA-M
thex2eACP,NA
cpd09434,NA
cynt,XLJMAIOERFSOGZ-UHFFFAOYSA-M
cpd11616,NA
xu5p__L,FNZLKVNUWIIPSJ-WHFBIAKZSA-L
man1p,HXXFSFRBOHSIMQ-RWOPYEJCSA-L
orn__L,AHLPHDHHMVZTML-BYPYZUCNSA-O
cpd10554,NA
cpd11503,NA
r5p,KTVPXOYAKDPRHY-AIHAYLRMSA-L
ind3acnl,DMCPFOBLJMLSNX-UHFFFAOYSA-N
23dhdp,UWOCFOFVIBZJGH-YFKPBYRVSA-L
pg140,BPHQZTVXXXJVHI-AJQTZOPKSA-M
mthgxl,AIJULSRZWUXGPQ-UHFFFAOYSA-N
icolipa,YKVGZDADLKRSPK-YRCDCJNSSA-C
cpd16365,NA
cpd01489,NA
pendp,JMVSBFJBMXQNJW-GIXZANJISA-K
cpd11544,NA
gmp,RQFCJASXJCIDSX-UUOKFMHZSA-L
s,NINIDFKCEFEMDL-UHFFFAOYSA-N
cpd03247,NA
ad,DLFVBJFMPXGRIB-UHFFFAOYSA-N
cpd11593,NA
