metname,inchikey
udpglcur,HDYANYHVCAPMJV-LXQIFKJMSA-K
3opalmACP,NA
leutrna,NA
3hbutACP,NA
ps181,NA
cpd25879,NA
trnatyr,NA
trnaarg,NA
uppg3,HUHWZXWWOFSFKF-UHFFFAOYSA-F
psqldp,ATZKAUGGNMSCCY-VYCBRMPGSA-K
cpd11550,NA
cpd03666,NA
cpd11566,NA
cpd11501,NA
cpd03659,NA
3ooctACP,NA
o2s,OUUQCZGPVNCOIJ-UHFFFAOYSA-M
amob,UOKVQQMBGVMXPU-CJPDYEHRSA-N
dad_2,OLXZPDWKRNYJJZ-RRKCRQDMSA-N
udpgal,HSCJRCZFDFQWRP-ABVWGUQPSA-L
pmtcoa,MNBKLUUYKPBKDU-BBECNAHFSA-J
ttdca,NA
cpd03706,NA
cpd11508,NA
cpd10568,NA
arg__L,ODKSFYDXXFIFQN-BYPYZUCNSA-O
cpd11570,NA
cpd11535,NA
cpd10503,NA
cpd05546,NA
cpd11206,NA
5forthf,YCWUVLPMLLBDCU-STQMWFEESA-L
ps141,NA
2p4c2me,HTJXTKBIUVFUAR-XHIBXCGHSA-J
chor,WTFXTQVDAKGDEY-HTQZYQBOSA-L
dxyl5p,AJPADPZSRRUGHI-RFZPGFLSSA-L
cpd11530,NA
HOPANOIDS,NA
glyc3p,AWUCVROLDVIAJX-GSVOUGTGSA-L
lipopb,NA
3ohexACP,NA
cpd02603,NA
suchms,GNISQJGXJIDKDJ-YFKPBYRVSA-M
2pg,GXIURPTVHJPJLF-UWTATZPHSA-K
cpd01560,NA
dump,JSRLJPSBLDHEIO-SHYZEUOFSA-L
cpd21488,NA
fdxrd,NA
cpd14547,NA
cpd11528,NA
2agpg141,NA
5odhf2a,ZPEHSARSWGDCEX-UHFFFAOYSA-M
4gudbd,YHVFECVVGNXFKO-UHFFFAOYSA-O
dtbt,AUTOLBMXDDTRRT-UHFFFAOYSA-M
orot,PXQPEWDEAKTCGB-UHFFFAOYSA-M
cholcoaone,NA
cpd10489,NA
cpd11565,NA
pe161,NA
prpp,PQGCEDQWHSBAJP-TXICZTDVSA-I
cpd15676,NA
cpd03211,NA
trnaleu,NA
mi1p__D,INAPMGSXUVUWAF-UOTPTPDRSA-L
5dh4dglc,QUURPCHWPQNNGL-ZAFYKAAXSA-L
trnathr,NA
phetrna,NA
cpd09811,NA
tdeACP,NA
cpd01447,NA
cpd03187,NA
dcacoa,NA
cpd04058,NA
2hdecg3p,NA
thr__L,AYFVYJQAPQTCCC-GBXIJSLDSA-N
Lcyst,XVOYSCVBGLVSOL-REOHCLBHSA-M
10fthfglu__L,BHBZPCBOCZGPTF-UHFFFAOYSA-L
tyr__L,OUYCCCASQSFEME-QMMMGPOBSA-N
focytc,NA
udpg,HSCJRCZFDFQWRP-RDKQLNKOSA-L
cpd11518,NA
xol7ah3,NA
cholcoa,NA
cpd15605,NA
sbt__D,FBPFZTCFMRRESA-JGWLITMVSA-N
cpd16402,NA
cytd,UHDGCWIWMRVCDJ-XVFCMESISA-N
ppp9,KSFOVUSSGSKXFI-UJJXFSCMSA-L
cpd15679,NA
dtmp,GYOZYWVXFNDGLU-XLPZGREQSA-L
2tdecg3p,NA
dmtphllqne,UDYIPZFWVJJQJF-KQPZCCJBSA-N
cbl2,ASARMUCNOOHMLO-FSANSEACSA-N
uagmda,PNWZQTONLRRPST-KLDRQJOASA-J
etoh,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
dgmp,LTFMZDNNPPEQNG-KVQBGUIXSA-L
bz,WPYMKLBDIGXBTP-UHFFFAOYSA-M
cpd16329,NA
fdxox,NA
dutp,AHCYMLUZIRLXAA-SHYZEUOFSA-J
trypta,APJYDQYYACXCRM-UHFFFAOYSA-O
ggdp,OINNEUNVOZHBOX-QIRCYJPOSA-K
octapb,NA
cpd01357,NA
lipa,DIXUKJUHGLIZGU-OIPVZEHTSA-H
glntrna,NA
cpd11505,NA
ps140,NA
ins,UGQMRVRMYYASKQ-KQYNXXCUSA-N
xol7ah2al,NA
cpd11592,NA
td2coa,MBCVYCOKMMMWLX-YYMFEJJQSA-J
cpd08707,NA
cdpdddecg,NA
orot5p,KYOBSHFOBAOFBF-XVFCMESISA-K
cpd03646,NA
cit,KRKNYBCHXYNGOX-UHFFFAOYSA-K
cpd11584,NA
dadp,DAEAPNUQQAICNR-RRKCRQDMSA-K
dgdp,CIKGWCTVFSRMJU-KVQBGUIXSA-K
cpd11437,NA
cpd24682,NA
acetol,XLSMFKSTNGKWQX-UHFFFAOYSA-N
cdp,ZWIADYZPOWUWEW-XVFCMESISA-K
cpd11498,NA
cpd00445,NA
26dap_LL,GMKMEZVLHJARHF-WHFBIAKZSA-N
preq0,FMKSMYDYKXQYRV-UHFFFAOYSA-N
cpd11835,NA
PHOSPHOLIPIDS,NA
btcoa,CRFNGMNYKDXRTN-CITAKDKDSA-J
dcamp,OFBHPPMPBOJXRT-DPXQIYNJSA-J
hcys__L,FFFHZYDWPBMWHY-UHFFFAOYSA-N
4ampm,SSWDVESQMBHOQT-UHFFFAOYSA-N
