reactions,metabolites,metabolitestotal,gpr,genes
S2FE2SS2,sufsesh_c0,sufsesh,ZMO1067 and ZMO0427 and ZMO0422 and ZMO0423 and ZMO0425 and ZMO0426,ZMO0427
S2FE2SS2,sufsesh_c0,sufsesh,ZMO1067 and ZMO0427 and ZMO0422 and ZMO0423 and ZMO0425 and ZMO0426,ZMO0422
S2FE2SS2,sufsesh_c0,sufsesh,ZMO1067 and ZMO0427 and ZMO0422 and ZMO0423 and ZMO0425 and ZMO0426,ZMO0423
S2FE2ST,sufbcd__2fe2s_c0,sufbcd__2fe2s,ZMO0429 and ZMO0423 and ZMO0425 and ZMO0426,ZMO0426
S2FE2ST,sufbcd__2fe2s_c0,sufbcd__2fe2s,ZMO0429 and ZMO0423 and ZMO0425 and ZMO0426,ZMO0425
S2FE2ST,sufbcd__2fe2s_c0,sufbcd__2fe2s,ZMO0429 and ZMO0423 and ZMO0425 and ZMO0426,ZMO0423
S2FE2ST,sufbcd__2fe2s_c0,sufbcd__2fe2s,ZMO0429 and ZMO0423 and ZMO0425 and ZMO0426,ZMO0429
S4FE4ST,sufbcd__4fe4s_c0,sufbcd__4fe4s,ZMO0429 and ZMO0423 and ZMO0425 and ZMO0426,ZMO0426
S4FE4ST,sufbcd__4fe4s_c0,sufbcd__4fe4s,ZMO0429 and ZMO0423 and ZMO0425 and ZMO0426,ZMO0425
S4FE4ST,sufbcd__4fe4s_c0,sufbcd__4fe4s,ZMO0429 and ZMO0423 and ZMO0425 and ZMO0426,ZMO0423
S4FE4ST,sufbcd__4fe4s_c0,sufbcd__4fe4s,ZMO0429 and ZMO0423 and ZMO0425 and ZMO0426,ZMO0429
rxn00929_reverse_num1,1pyr5c_c,1pyr5c,ZMO0311,ZMO0311
rxn00505,icit_c,icit,ZMO0544,ZMO0544
rxn00055_reverse_num1,5mta_c,5mta,ZMO0821,ZMO0821
rxn00055_reverse_num1,cpd03158_c0,cpd03158,ZMO0821,ZMO0821
rxn00109_reverse,ham_c,ham,ZMO0117,ZMO0117
rxn00124_reverse,pydx5p_c,pydx5p,ZMO1600,ZMO1600
rxn00179_reverse,glu5p_c,glu5p,ZMO0206,ZMO0206
rxn00198_reverse,akg_c,akg,ZMO0544,ZMO0544
rxn00211_reverse,udpglcur_c,udpglcur,ZMO0819,ZMO0819
rxn00224_reverse,pheme_c,pheme,ZMO0303,ZMO0303
rxn00260_reverse_num1,glu__L_c,glu__L,ZMO0342,ZMO0342
rxn00260_reverse_num1,oaa_c,oaa,ZMO0342,ZMO0342
rxn00272_reverse,pyr_c,pyr,ZMOp33x012,ZMOp33x012
rxn00272_reverse,gly_c,gly,ZMOp33x012,ZMOp33x012
rxn00285_reverse,succoa_c,succoa,ZMO1481 and ZMO0567,ZMO0567
rxn00285_reverse,succoa_c,succoa,ZMO1481 and ZMO0567,ZMO1481
rxn00314_reverse_num1,pyr_c,pyr,ZMO0311,ZMO0311
rxn00314_reverse_num1,lys__L_c,lys__L,ZMO0311,ZMO0311
rxn00328_reverse,pyr_c,pyr,ZMO0997,ZMO0997
rxn00328_reverse,glx_c,glx,ZMO0997,ZMO0997
rxn00337_reverse_num1,4pasp_c,4pasp,ZMO1653,ZMO1653
rxn00422_reverse,ala__L_c,ala__L,ZMOp33x012,ZMOp33x012
rxn00422_reverse,hpyr_c,hpyr,ZMOp33x012,ZMOp33x012
rxn00459_reverse,pep_c,pep,ZMO1608,ZMO1608
rxn00461_reverse,uaccg_c,uaccg,ZMO1724,ZMO1724
rxn00493_reverse_num1,glu__L_c,glu__L,ZMO0002,ZMO0002
rxn00493_reverse_num1,phpyr_c,phpyr,ZMO0002,ZMO0002
rxn00500_reverse_num1,pyr_c,pyr,ZMO0256,ZMO0256
rxn00527_reverse_num1,glu__L_c,glu__L,ZMO1854,ZMO1854
rxn00527_reverse_num1,34hpp_c,34hpp,ZMO1854,ZMO1854
rxn00532_reverse,malcoa_c,malcoa,ZMO1407,ZMO1407
rxn00543_reverse_num1,acald_c,acald,ZMO1596,ZMO1596
rxn00546_reverse,f6p_c,f6p,ZMO1449,ZMO1449
rxn00547_reverse_num1,f6p_c,f6p,ZMO1895,ZMO1895
rxn00555_reverse,glu__L_c,glu__L,ZMO0056,ZMO0056
rxn00555_reverse,gam6p_c,gam6p,ZMO0056,ZMO0056
rxn00604_reverse,6pgl_c,6pgl,ZMO0367,ZMO0367
rxn00640_reverse,gdpmann_c,gdpmann,ZMO1233,ZMO1233
rxn00655_reverse,pyr_c,pyr,ZMO0321,ZMO0321
rxn00655_reverse,ala_B_c,ala_B,ZMO0321,ZMO0321
rxn00678_reverse,oaa_c,oaa,ZMO0791,ZMO0791
rxn00678_reverse,ppcoa_c,ppcoa,ZMO0791,ZMO0791
rxn00686_reverse,dhf_c,dhf,ZMO0321,ZMO0321
rxn00692_reverse,ser__L_c,ser__L,ZMO1201,ZMO1201
rxn00692_reverse,thf_c,thf,ZMO1201,ZMO1201
rxn00693_reverse_num1,met__L_c,met__L,ZMO1745,ZMO1745
rxn00693_reverse_num1,thf_c,thf,ZMO1745,ZMO1745
rxn00763_reverse_num1,glyald_c,glyald,ZMOp33x021,ZMOp33x021
rxn00781_reverse,13dpg_c,13dpg,ZMO0177,ZMO0177
rxn00783_reverse,pyr_c,pyr,ZMO1059,ZMO1059
rxn00783_reverse,g3p_c,g3p,ZMO1059,ZMO1059
rxn00785_reverse,xu5p__D_c,xu5p__D,ZMO0176,ZMO0176
rxn00785_reverse,e4p_c,e4p,ZMO0176,ZMO0176
rxn00786_reverse,dhap_c,dhap,ZMO0179,ZMO0179
rxn00786_reverse,g3p_c,g3p,ZMO0179,ZMO0179
rxn00799_reverse,fum_c,fum,ZMO1307,ZMO1307
rxn00800_reverse,fum_c,fum,ZMO0662,ZMO0662
rxn00802_reverse,arg__L_c,arg__L,ZMO1770,ZMO1770
rxn00802_reverse,fum_c,fum,ZMO1770,ZMO1770
rxn00806_reverse,glu__L_c,glu__L,ZMO0913,ZMO0913
rxn00806_reverse,4mop_c,4mop,ZMO0913,ZMO0913
rxn00859_reverse,his__L_c,his__L,ZMO1551,ZMO1551
rxn00903_reverse,glu__L_c,glu__L,ZMO0913,ZMO0913
rxn00903_reverse,3mob_c,3mob,ZMO0913,ZMO0913
rxn00904_reverse,ala__L_c,ala__L,ZMO1950,ZMO1950
rxn00904_reverse,3mob_c,3mob,ZMO1950,ZMO1950
rxn00905_reverse,fald_c,fald,ZMO0027,ZMO0027
rxn00905_reverse,3mob_c,3mob,ZMO0027,ZMO0027
rxn00907_reverse,methf_c,methf,ZMO0914,ZMO0914
rxn00912_reverse_num1,thf_c,thf,ZMO1970,ZMO1970
rxn00912_reverse_num1,2dhp_c,2dhp,ZMO1970,ZMO1970
rxn00974_reverse,acon_C_c,acon_C,ZMO0543,ZMO0543
rxn01043_reverse,xyl__D_c,xyl__D,ZMO0976,ZMO0976
rxn01100_reverse,13dpg_c,13dpg,ZMO0178,ZMO0178
rxn01101_reverse_num1,3php_c,3php,ZMO1883,ZMO1883
rxn01157_reverse,cpd01512_c0,cpd01512,ZMO1678,ZMO1678
rxn01200_reverse,r5p_c,r5p,ZMO0176,ZMO0176
rxn01200_reverse,xu5p__D_c,xu5p__D,ZMO0176,ZMO0176
rxn01216_reverse,23dpg_c,23dpg,ZMO0339,ZMO0339
rxn01257_reverse_num1,glu__L_c,glu__L,ZMO0114,ZMO0114
rxn01257_reverse_num1,4adcho_c,4adcho,ZMO0114,ZMO0114
rxn01270_reverse_num1,asp__L_c,asp__L,ZMO0562,ZMO0562
rxn01270_reverse_num1,pphn_c,pphn,ZMO0562,ZMO0562
rxn01291_reverse,arab__L_c,arab__L,ZMO1344,ZMO1344
rxn01300_reverse,phom_c,phom,ZMO1600,ZMO1600
rxn01334_reverse,dhap_c,dhap,ZMO0179,ZMO0179
rxn01334_reverse,e4p_c,e4p,ZMO0179,ZMO0179
rxn01388_reverse,acon_C_c,acon_C,ZMO0543,ZMO0543
rxn01396_reverse,pdx5p_c,pdx5p,ZMO1600,ZMO1600
rxn01465_reverse_num1,cbasp_c,cbasp,ZMO0792,ZMO0792
rxn01530_reverse_num1,retinal_c,retinal,ZMO1236,ZMO1236
rxn01547_reverse,xtsn_c,xtsn,ZMO1178,ZMO1178
rxn01575_reverse,glu__L_c,glu__L,ZMO0913,ZMO0913
rxn01575_reverse,3mop_c,3mop,ZMO0913,ZMO0913
rxn01602_reverse,fol_c,fol,ZMO0321,ZMO0321
rxn01607_reverse_num1,5pmev_c,5pmev,ZMO1895,ZMO1895
rxn01636_reverse,orn__L_c,orn__L,ZMO0923,ZMO0923
rxn01636_reverse,acglu_c,acglu,ZMO0923,ZMO0923
rxn01637_reverse,glu__L_c,glu__L,ZMO0408,ZMO0408
rxn01637_reverse,acg5sa_c,acg5sa,ZMO0408,ZMO0408
rxn01641_reverse,thf_c,thf,ZMO0811,ZMO0811
rxn01641_reverse,forglu_c,forglu,ZMO0811,ZMO0811
rxn01682_reverse_num1,g3p_c,g3p,ZMO0584 and ZMO0585,ZMO0584
rxn01682_reverse_num1,g3p_c,g3p,ZMO0584 and ZMO0585,ZMO0585
rxn01682_reverse_num1,indole_c,indole,ZMO0584 and ZMO0585,ZMO0584
rxn01682_reverse_num1,indole_c,indole,ZMO0584 and ZMO0585,ZMO0585
rxn01739_reverse,skm5p_c,skm5p,ZMO0594,ZMO0594
rxn01740_reverse,3dhsk_c,3dhsk,ZMO0041,ZMO0041
rxn01790_reverse,2dhp_c,2dhp,ZMO1141,ZMO1141
rxn01807_reverse,pyam5p_c,pyam5p,ZMO1600,ZMO1600
rxn01834_reverse_num1,gthrd_c,gthrd,ZMO0760,ZMO0760
rxn01834_reverse_num1,mthgxl_c,mthgxl,ZMO0760,ZMO0760
rxn01843_reverse,pac_c,pac,ZMO1370,ZMO1370
rxn01917_reverse,acg5p_c,acg5p,ZMO1494,ZMO1494
rxn02009_reverse,uAgl_c,uAgl,ZMO0215,ZMO0215
rxn02056_reverse_num1,scl_c,scl,ZMO1271,ZMO1271
rxn02090_reverse_num1,cpd01679_c0,cpd01679,ZMO0474,ZMO0474
rxn02107_reverse,salc_c,salc,ZMO1407,ZMO1407
rxn02159_reverse,cpd01324_c0,cpd01324,ZMO1551,ZMO1551
rxn02181_reverse,pp2coa_c,pp2coa,ZMO0368,ZMO0368
rxn02182_reverse,pp2coa_c,pp2coa,ZMO1770,ZMO1770
rxn02185_reverse_num1,pyr_c,pyr,ZMO1140 and ZMO1139,ZMO1140
rxn02185_reverse_num1,pyr_c,pyr,ZMO1140 and ZMO1139,ZMO1139
rxn02185_reverse_num1,2ahethmpp_c,2ahethmpp,ZMO1140 and ZMO1139,ZMO1140
rxn02185_reverse_num1,2ahethmpp_c,2ahethmpp,ZMO1140 and ZMO1139,ZMO1139
rxn02186_reverse,23dhmb_c,23dhmb,ZMO1141,ZMO1141
rxn02229_reverse,pyr_c,pyr,ZMO0094,ZMO0094
rxn02229_reverse,tsul_c,tsul,ZMO0094,ZMO0094
rxn02230_reverse_num1,pyr_c,pyr,ZMO1460,ZMO1460
rxn02230_reverse_num1,tcynt_c,tcynt,ZMO1460,ZMO1460
rxn02264_reverse,uppg3_c,uppg3,ZMO1902,ZMO1902
rxn02283_reverse,thf_c,thf,ZMO0811,ZMO0811
rxn02283_reverse,Nforglu_c,Nforglu,ZMO0811,ZMO0811
rxn02285_reverse,uaccg_c,uaccg,ZMO0833,ZMO0833
rxn02305_reverse_num1,thmmp_c,thmmp,ZMO0332,ZMO0332
rxn02312_reverse,dann_c,dann,ZMO1918,ZMO1918
rxn02312_reverse,amob_c,amob,ZMO1918,ZMO1918
rxn02320_reverse_num1,glu__L_c,glu__L,ZMO0002,ZMO0002
rxn02320_reverse_num1,imacp_c,imacp,ZMO0002,ZMO0002
rxn02339_reverse_num1,glu__L_c,glu__L,ZMO0342,ZMO0342
rxn02339_reverse_num1,4h2oglt_c,4h2oglt,ZMO0342,ZMO0342
rxn02342_reverse,thmpp_c,thmpp,ZMO1606 and ZMO1605,ZMO1605
rxn02342_reverse,thmpp_c,thmpp,ZMO1606 and ZMO1605,ZMO1606
rxn02342_reverse,adhlam_c,adhlam,ZMO1606 and ZMO1605,ZMO1605
rxn02342_reverse,adhlam_c,adhlam,ZMO1606 and ZMO1605,ZMO1606
rxn02362_reverse,cdpg_c,cdpg,ZMO1128,ZMO1128
rxn02474_reverse,5apru_c,5apru,ZMO0476,ZMO0476
rxn02476_reverse,3psme_c,3psme,ZMO1796,ZMO1796
rxn02504_reverse,gcald_c,gcald,ZMO1059,ZMO1059
rxn02504_reverse,6hmhpt_c,6hmhpt,ZMO1059,ZMO1059
rxn02548_reverse,ahcys_c,ahcys,ZMO1033,ZMO1033
rxn02548_reverse,cpd01043_c0,cpd01043,ZMO1033,ZMO1033
rxn02639_reverse,cholcoaone_c,cholcoaone,ZMO1806,ZMO1806
rxn02687_reverse,cpd01447_c0,cpd01447,ZMO1407,ZMO1407
rxn02693_reverse,cpd01373_c0,cpd01373,ZMO1419,ZMO1419
rxn02789_reverse_num1,2ippm_c,2ippm,ZMO0106,ZMO0106
rxn02811_reverse_num1,2ippm_c,2ippm,ZMO0106,ZMO0106
rxn02819_reverse_num1,ahcys_c,ahcys,ZMO1970,ZMO1970
rxn02819_reverse_num1,cpd01736_c0,cpd01736,ZMO1970,ZMO1970
rxn02914_reverse,glu__L_c,glu__L,ZMO1684,ZMO1684
rxn02914_reverse,3php_c,3php,ZMO1684,ZMO1684
rxn02937_reverse,air_c,air,ZMO0709,ZMO0709
rxn02962_reverse_num1,etha_c,etha,ZMO0006,ZMO0006
rxn03004_reverse,thf_c,thf,ZMO0708,ZMO0708
rxn03004_reverse,fgam_c,fgam,ZMO0708,ZMO0708
rxn03052_reverse,met__L_c,met__L,ZMO1000,ZMO1000
rxn03052_reverse,hpglu_c,hpglu,ZMO1000,ZMO1000
rxn03062_reverse,3c4mop_c,3c4mop,ZMO0677,ZMO0677
rxn03063_reverse,ahcys_c,ahcys,ZMO1755,ZMO1755
rxn03063_reverse,fecost_c,fecost,ZMO1755,ZMO1755
rxn03068_reverse,3hmoa_c,3hmoa,ZMO1141,ZMO1141
rxn03080_reverse,dmlz_c,dmlz,ZMO0473,ZMO0473
rxn03114_reverse,cpd02824_c0,cpd02824,ZMO1019,ZMO1019
rxn03120_reverse,cpd02952_c0,cpd02952,ZMO0363,ZMO0363
rxn03136_reverse,fum_c,fum,ZMO0662,ZMO0662
rxn03136_reverse,aicar_c,aicar,ZMO0662,ZMO0662
rxn03137_reverse,thf_c,thf,ZMO0027,ZMO0027
rxn03137_reverse,fprica_c,fprica,ZMO0027,ZMO0027
rxn03185_reverse,cpd03660_c0,cpd03660,ZMO0855,ZMO0855
rxn03194_reverse_num1,thmpp_c,thmpp,ZMO1139,ZMO1139
rxn03194_reverse_num1,2ahbut_c,2ahbut,ZMO1139,ZMO1139
rxn03282_reverse_num1,xol7ah2al_c,xol7ah2al,ZMO1236,ZMO1236
rxn03333_reverse_num1,34dhmald_c,34dhmald,ZMOp33x021,ZMOp33x021
rxn03366_reverse,cpd03366_c0,cpd03366,ZMO1407,ZMO1407
rxn03395_reverse,ahcys_c,ahcys,ZMO1654,ZMO1654
rxn03395_reverse,2omph_c,2omph,ZMO1654,ZMO1654
rxn03408_reverse,uaagmda_c,uaagmda,ZMO0831,ZMO0831
rxn03435_reverse,cpd10162_c0,cpd10162,ZMO1141,ZMO1141
rxn03445_reverse,glu__L_c,glu__L,ZMO1684,ZMO1684
rxn03445_reverse,ohpb_c,ohpb,ZMO1684,ZMO1684
rxn03463_reverse,cpd03659_c0,cpd03659,ZMO0855,ZMO0855
rxn03618_reverse,cpd04106_c0,cpd04106,ZMO1407,ZMO1407
rxn03762_reverse,cpd04058_c0,cpd04058,ZMO1724,ZMO1724
rxn03884_reverse,pyr_c,pyr,ZMO0997,ZMO0997
rxn03884_reverse,g3p_c,g3p,ZMO0997,ZMO0997
rxn03903_reverse,uaGgla_c,uaGgla,ZMO0828,ZMO0828
rxn03904_reverse,uagmda_c,uagmda,ZMO0828,ZMO0828
rxn03908_reverse,2p4c2me_c,2p4c2me,ZMO1182,ZMO1182
rxn03910_reverse,2mecdp_c,2mecdp,ZMO1128,ZMO1128
rxn03915_reverse,cpd01129_c0,cpd01129,ZMO1407,ZMO1407
rxn03921_reverse,cpd02045_c0,cpd02045,ZMO1407,ZMO1407
rxn03933_reverse,uaaGgla_c,uaaGgla,ZMO0831,ZMO0831
rxn03951_reverse,cpd04539_c0,cpd04539,ZMO1313,ZMO1313
rxn03958_reverse,dxyl5p_c,dxyl5p,ZMO1150,ZMO1150
rxn04137_reverse,2amsa_c,2amsa,ZMO0226,ZMO0226
rxn04270_reverse,cpd08741_c0,cpd08741,ZMO1407,ZMO1407
rxn04271_reverse,cpd08740_c0,cpd08740,ZMO1407,ZMO1407
rxn04723_reverse,cpd09791_c0,cpd09791,ZMO1407,ZMO1407
rxn04726_reverse_num1,cpd09793_c0,cpd09793,ZMO1596,ZMO1596
rxn04727_reverse,cpd09794_c0,cpd09794,ZMO1407,ZMO1407
rxn04736_reverse_num1,cpd09802_c0,cpd09802,ZMOp33x021,ZMOp33x021
rxn04737_reverse,cpd09804_c0,cpd09804,ZMO1407,ZMO1407
rxn04744_reverse,cpd09812_c0,cpd09812,ZMO1407,ZMO1407
rxn04792_reverse,Sfglutth_c,Sfglutth,ZMO1722,ZMO1722
rxn04895_reverse,cpd10562_c0,cpd10562,ZMO0869,ZMO0869
rxn04896_reverse,cpd10561_c0,cpd10561,ZMO0869,ZMO0869
rxn04903_reverse,cpd10565_c0,cpd10565,ZMO0869,ZMO0869
rxn04908_reverse_num1,cpd04661_c0,cpd04661,ZMOp33x021,ZMOp33x021
rxn04916_reverse,cpd00966_c0,cpd00966,ZMO0869,ZMO0869
rxn04916_reverse,cpd10571_c0,cpd10571,ZMO0869,ZMO0869
rxn04919_reverse,cpd00966_c0,cpd00966,ZMO0869,ZMO0869
rxn04919_reverse,cpd10568_c0,cpd10568,ZMO0869,ZMO0869
rxn04954_reverse,mlthf_c,mlthf,ZMO1747,ZMO1747
rxn05005_reverse_num1,ahcys_c,ahcys,ZMO0006,ZMO0006
rxn05005_reverse_num1,cpd11206_c0,cpd11206,ZMO0006,ZMO0006
rxn05006_reverse_num1,ahcys_c,ahcys,ZMO0006,ZMO0006
rxn05006_reverse_num1,pre2_c,pre2,ZMO0006,ZMO0006
rxn05034_reverse,cpd02419_c0,cpd02419,ZMO1419,ZMO1419
rxn05198_reverse,cytd_c,cytd,ZMO0967,ZMO0967
rxn05199_reverse,uri_c,uri,ZMO0967,ZMO0967
rxn05200_reverse,thymd_c,thymd,ZMO0967,ZMO0967
rxn05201_reverse,hxan_c,hxan,ZMO0969,ZMO0969
rxn05205_reverse,dcyt_c,dcyt,ZMO0967,ZMO0967
rxn05307_reverse,ser__L_c,ser__L,ZMO1465,ZMO1465
rxn05316_reverse,ins_c,ins,ZMO0967,ZMO0967
rxn05317_reverse,dad_2_c,dad_2,ZMO0967,ZMO0967
rxn05318_reverse,adn_c,adn,ZMO0967,ZMO0967
rxn05330_reverse,thex2eACP_c,thex2eACP,ZMO1146,ZMO1146
rxn05331_reverse,tddec2eACP_c,tddec2eACP,ZMO1146,ZMO1146
rxn05332_reverse,tpalm2eACP_c,tpalm2eACP,ZMO1146,ZMO1146
rxn05334_reverse,toct2eACP_c,toct2eACP,ZMO1146,ZMO1146
rxn05335_reverse,tmrs2eACP_c,tmrs2eACP,ZMO1146,ZMO1146
rxn05336_reverse_num1,3opalmACP_c,3opalmACP,ZMO1946,ZMO1946
rxn05337_reverse_num1,3ohexACP_c,3ohexACP,ZMOp33x016,ZMOp33x016
rxn05338_reverse_num1,3odecACP_c,3odecACP,ZMO1946,ZMO1946
rxn05339_reverse_num1,actACP_c,actACP,ZMOp33x016,ZMOp33x016
rxn05340_reverse_num1,3oddecACP_c,3oddecACP,ZMO1946,ZMO1946
rxn05341_reverse_num1,3ooctACP_c,3ooctACP,ZMO0318,ZMO0318
rxn05342_reverse_num1,3omrsACP_c,3omrsACP,ZMO0318,ZMO0318
rxn05349_reverse,acACP_c,acACP,ZMO1279 and ZMO1899,ZMO1899
rxn05349_reverse,acACP_c,acACP,ZMO1279 and ZMO1899,ZMO1279
rxn05360_reverse_num1,cpd11497_c0,cpd11497,ZMO1222,ZMO1222
rxn05364_reverse_num1,cpd11501_c0,cpd11501,ZMO0090,ZMO0090
rxn05368_reverse_num1,cpd11505_c0,cpd11505,ZMO1222,ZMO1222
rxn05372_reverse_num1,cpd11509_c0,cpd11509,ZMOp33x016,ZMOp33x016
rxn05376_reverse_num1,cpd11513_c0,cpd11513,ZMOp33x016,ZMOp33x016
rxn05380_reverse_num1,cpd11517_c0,cpd11517,ZMO0318,ZMO0318
rxn05383_reverse,cpd11520_c0,cpd11520,ZMO1223,ZMO1223
rxn05385_reverse_num1,cpd11522_c0,cpd11522,ZMO0090,ZMO0090
rxn05389_reverse_num1,cpd11526_c0,cpd11526,ZMO0090,ZMO0090
rxn05393_reverse_num1,cpd11530_c0,cpd11530,ZMO0318,ZMO0318
rxn05397_reverse_num1,cpd11534_c0,cpd11534,ZMO0090,ZMO0090
rxn05401_reverse_num1,cpd11538_c0,cpd11538,ZMOp33x016,ZMOp33x016
rxn05405_reverse_num1,cpd11542_c0,cpd11542,ZMO1222,ZMO1222
rxn05408_reverse,cpd11545_c0,cpd11545,ZMO1223,ZMO1223
rxn05410_reverse_num1,cpd11547_c0,cpd11547,ZMO0090,ZMO0090
rxn05414_reverse_num1,cpd11551_c0,cpd11551,ZMO0318,ZMO0318
rxn05418_reverse_num1,cpd11555_c0,cpd11555,ZMOp33x016,ZMOp33x016
rxn05422_reverse_num1,cpd11559_c0,cpd11559,ZMO0318,ZMO0318
rxn05426_reverse_num1,cpd11563_c0,cpd11563,ZMOp33x016,ZMOp33x016
rxn05430_reverse_num1,cpd11567_c0,cpd11567,ZMO0090,ZMO0090
rxn05451_reverse,cpd11439_c0,cpd11439,ZMO1223,ZMO1223
rxn05451_reverse,ACP_c,ACP,ZMO1223,ZMO1223
rxn05452_reverse,cpd11434_c0,cpd11434,ZMO1223,ZMO1223
rxn05452_reverse,ACP_c,ACP,ZMO1223,ZMO1223
rxn05453_reverse,cpd11437_c0,cpd11437,ZMO1223,ZMO1223
rxn05453_reverse,ACP_c,ACP,ZMO1223,ZMO1223
rxn05454_reverse,cpd11432_c0,cpd11432,ZMO1223,ZMO1223
rxn05454_reverse,ACP_c,ACP,ZMO1223,ZMO1223
rxn05455_reverse,cpd11435_c0,cpd11435,ZMO1223,ZMO1223
rxn05455_reverse,ACP_c,ACP,ZMO1223,ZMO1223
rxn05456_reverse,cpd11441_c0,cpd11441,ZMO1223,ZMO1223
rxn05456_reverse,ACP_c,ACP,ZMO1223,ZMO1223
rxn05457_reverse,tdcoa_c,tdcoa,ZMO1223,ZMO1223
rxn05457_reverse,ACP_c,ACP,ZMO1223,ZMO1223
rxn05458_reverse,pmtcoa_c,pmtcoa,ZMO1223,ZMO1223
rxn05458_reverse,ACP_c,ACP,ZMO1223,ZMO1223
rxn05459_reverse,stcoa_c,stcoa,ZMO1223,ZMO1223
rxn05459_reverse,ACP_c,ACP,ZMO1223,ZMO1223
rxn05461_reverse_num1,cpd11571_c0,cpd11571,ZMO0090,ZMO0090
rxn05814_reverse,cpd00354_c0,cpd00354,ZMO0433,ZMO0433
rxn05871_reverse_num1,cpd11616_c0,cpd11616,ZMOp33x021,ZMOp33x021
rxn05872_reverse_num1,cpd11733_c0,cpd11733,ZMO1236,ZMO1236
rxn05937_reverse,fdxox_c,fdxox,ZMO1753,ZMO1753
rxn06060_reverse_num1,gthox_c,gthox,ZMO0859,ZMO0859
rxn06077_reverse,metsox_S__L_c,metsox_S__L,ZMO0998 and ZMO1097,ZMO1097
rxn06077_reverse,metsox_S__L_c,metsox_S__L,ZMO0998 and ZMO1097,ZMO0998
rxn06077_reverse,trdrd_c,trdrd,ZMO0998 and ZMO1097,ZMO1097
rxn06077_reverse,trdrd_c,trdrd,ZMO0998 and ZMO1097,ZMO0998
rxn06098_reverse_num1,cpd02601_c0,cpd02601,ZMO1917,ZMO1917
rxn06098_reverse_num1,cpd11979_c0,cpd11979,ZMO1917,ZMO1917
rxn06297_reverse,5mta_c,5mta,ZMO0855,ZMO0855
rxn06297_reverse,cpd12564_c0,cpd12564,ZMO0855,ZMO0855
rxn06372_reverse,ahcys_c,ahcys,ZMO1951,ZMO1951
rxn06372_reverse,cpd12496_c0,cpd12496,ZMO1951,ZMO1951
rxn06515_reverse,ahcys_c,ahcys,ZMO1654,ZMO1654
rxn06515_reverse,cpd12736_c0,cpd12736,ZMO1654,ZMO1654
rxn06517_reverse,2amac_c,2amac,ZMO0327,ZMO0327
rxn06517_reverse,cpd12050_c0,cpd12050,ZMO0327,ZMO0327
rxn06526_reverse,protds_c,protds,ZMO1389,ZMO1389
rxn06570_reverse,ahcys_c,ahcys,ZMO1654,ZMO1654
rxn06570_reverse,cpd12431_c0,cpd12431,ZMO1654,ZMO1654
rxn06672_reverse,cbtnCCP_c,cbtnCCP,ZMO0735 and ZMO1868 and ZMO0736,ZMO0735
rxn06672_reverse,cbtnCCP_c,cbtnCCP,ZMO0735 and ZMO1868 and ZMO0736,ZMO1868
rxn06672_reverse,cbtnCCP_c,cbtnCCP,ZMO0735 and ZMO1868 and ZMO0736,ZMO0736
rxn06728_reverse,cpd02972_c0,cpd02972,ZMO0855,ZMO0855
rxn06735_reverse,cpd03654_c0,cpd03654,ZMO0855,ZMO0855
rxn06750_reverse,cpd03655_c0,cpd03655,ZMO0855,ZMO0855
rxn06759_reverse,cpd03661_c0,cpd03661,ZMO0855,ZMO0855
rxn06804_reverse,ahcys_c,ahcys,ZMO1654,ZMO1654
rxn06804_reverse,Ndmelys_c,Ndmelys,ZMO1654,ZMO1654
rxn06805_reverse,ahcys_c,ahcys,ZMO1654,ZMO1654
rxn06805_reverse,Ntmelys_c,Ntmelys,ZMO1654,ZMO1654
rxn07100_reverse,cpd12554_c0,cpd12554,ZMO0828,ZMO0828
rxn07181_reverse,cpd10560_c0,cpd10560,ZMO0869,ZMO0869
rxn07261_reverse,cdpea_c,cdpea,ZMO0828,ZMO0828
rxn07261_reverse,cpd12322_c0,cpd12322,ZMO0828,ZMO0828
rxn07292_reverse,ala__L_c,ala__L,ZMO1834,ZMO1834
rxn07292_reverse,cpd14548_c0,cpd14548,ZMO1834,ZMO1834
rxn07312_reverse,ahcys_c,ahcys,ZMO1755,ZMO1755
rxn07312_reverse,menecyart_c,menecyart,ZMO1755,ZMO1755
rxn07454_reverse,cpd14795_c0,cpd14795,ZMO1592,ZMO1592
rxn07579_reverse,cpd12458_c0,cpd12458,ZMO1692,ZMO1692
rxn07672_reverse,cpd15066_c0,cpd15066,ZMO0498,ZMO0498
rxn07673_reverse,cpd15067_c0,cpd15067,ZMO0498,ZMO0498
rxn07720_reverse,cpd15087_c0,cpd15087,ZMO0498,ZMO0498
rxn07842_reverse,cpd15131_c0,cpd15131,ZMO1006,ZMO1006
rxn07875_reverse,cpd15165_c0,cpd15165,ZMO1407,ZMO1407
rxn07876_reverse,cpd15166_c0,cpd15166,ZMO1407,ZMO1407
rxn07885_reverse,cpd15166_c0,cpd15166,ZMO1407,ZMO1407
rxn07976_reverse,t3c5ddeceACP_c,t3c5ddeceACP,ZMO1146,ZMO1146
rxn07977_reverse,t3c7mrseACP_c,t3c7mrseACP,ZMO1146,ZMO1146
rxn07978_reverse,t3c9palmeACP_c,t3c9palmeACP,ZMO1146,ZMO1146
rxn07979_reverse,cpd15572_c0,cpd15572,ZMO1146,ZMO1146
